Study,D1,D2,D3,D4,D5,Overall
Knox 2025,Some concerns,Low,Low,Low,Low,Some concerns
Westphalen 2023,Some concerns,Some concerns,Low,Low,Low,Some concerns
Le 2019,Some concerns,High,High,Low,Low,High
Le 2015,Some concerns,Some concerns,Low,Low,Low,Some concerns
Heinemann 2006,Low,Low,Low,Low,Low,Low
Colucci 2010,Low,Low,Low,Low,Low,Low
Wang-Gillam 2019,Some concerns,Low,Low,Low,Low,Some concerns
Von Hoff 2013,Some concerns,Low,Low,Low,Low,Some concerns
